房间,用量（千瓦时）
L1农具房,3
L1客厅,40
L1厨房,70
L1谷物房,5
L1餐厅,40
L1餐厅卫生间,10
L1老人房,14
L1老人房卫生间,10
L2东南客房,10
L2东客房,27
L2东客房卫生间,5
L2偏房,10
L2偏房卫生间,5
L2主人房,44
L2西北卫生间,6
L2衣帽间,4
L2客房,30
L3儿童房,22
L3儿童房卫生间,6
L3主人房,30
L3西北卫生间,10
L3衣帽间,4
L3客房,11
